,No-Intent,Intent,Total
pubmatic,0.7415172413793103,0.8333333333333334,0.7784465699208444
innity,0.06620689655172414,0.07052070520705207,0.0679419525065963
aol,0.015310344827586206,0.018040180401804017,0.016408311345646437
sovrn,0.01406896551724138,0.007995079950799507,0.011625989445910291
rubicon,0.016551724137931035,0.013940139401394014,0.01550131926121372
appnexus,0.002620689655172414,0.0024600246002460025,0.0025560686015831135
ix,0.12482758620689655,0.04592045920459205,0.09309036939313985
criteo,0.01296551724137931,0.005125051250512505,0.009812005277044854
openx,0.0034482758620689655,0.001025010250102501,0.002473614775725594
trustx,0.0024827586206896553,0.0016400164001640015,0.0021437994722955144
lockerdome,0.0,0.0,0.0
districtm,0.0,0.0,0.0
conversant,0.0,0.0,0.0
triplelift,0.0,0.0,0.0
sonobi,0.0,0.0,0.0
33across,0.0,0.0,0.0
smartadserver,0.0,0.0,0.0
newsconnect,0.0,0.0,0.0
Total,0.5977902374670184,0.4022097625329815,0.0
