Bidders,AdSlot,Rendered,Intent/No-Intent,category,CPM
pubmatic,div-gpt-ad-liputan6-billboard-oop@pubmatic@1X1,False,INTENT,Reference,0.0
pubmatic,div-gpt-ad-liputan6-topfrm-oop@pubmatic@1X1,False,INTENT,Reference,0.0
pubmatic,div-gpt-ad-liputan6-bottomfrm-oop@pubmatic@1X1,False,INTENT,Reference,0.0
pubmatic,div-gpt-ad-liputan6-skinad-oop@pubmatic@1X1,False,INTENT,Reference,0.0
openx,pol-01,False,INTENT,BLOCK,0.43800000000000006
ix,pol-01,False,INTENT,BLOCK,0.43000000000000005
ix,pol-01,False,INTENT,BLOCK,0.39
rubicon,pol-01,False,INTENT,BLOCK,0.5636050000000001
appnexus,pol-01,False,INTENT,BLOCK,0.09048199999999999
appnexus,ad-slot-banner-231052,False,INTENT,BLOCK,1.6349239999999998
ix,top-leaderboard-home-page-desktop,False,INTENT,Recreation,3.3899999999999997
rubicon,top-leaderboard-home-page-desktop,False,INTENT,Recreation,2.66699
ix,bottom-leaderboard-home-page-desktop,False,INTENT,Recreation,3.3699999999999997
rubicon,bottom-leaderboard-home-page-desktop,False,INTENT,Recreation,2.66699
ix,bottom-mpu-home-page-desktop,False,INTENT,Recreation,2.79
rubicon,bottom-mpu-home-page-desktop,False,INTENT,Recreation,2.343977
lockerdome,1131606,False,INTENT,Health,0.13
openx,1131607,True,INTENT,Health,2.2686800000000003
rubicon,HorizonBanner,False,INTENT,Health,0.19391152
appnexus,header_top_hb,False,INTENT,Adult,0.14737
appnexus,full_site_hb,False,INTENT,Adult,0.14737
appnexus,middle_hb,False,INTENT,Adult,0.11019300000000001
pubmatic,div-gpt-ad-merdeka-lb@pubmatic@970X90,False,INTENT,Society,0.12000000000000001
pubmatic,div-gpt-ad-merdeka-lb@pubmatic@728X90,False,INTENT,Society,0.1
pubmatic,div-gpt-ad-merdeka-lb@pubmatic@970X250,False,INTENT,Society,10.79
innity,div-gpt-ad-merdeka-lb@innity@728X90,False,INTENT,Society,0.0
openx,pol-01,False,INTENT,Arts,0.505
ix,pol-01,False,INTENT,Arts,0.5
ix,pol-01,False,INTENT,Arts,0.1
ix,pol-01,False,INTENT,Arts,0.39
appnexus,pol-01,False,INTENT,Arts,0.28081600000000007
rubicon,pol-01,False,INTENT,Arts,1.65812
openx,pol-02,False,INTENT,Arts,0.36900000000000005
ix,pol-02,False,INTENT,Arts,0.22
appnexus,pol-02,False,INTENT,Arts,0.20073700000000003
rubicon,pol-02,False,INTENT,Arts,0.31135000000000007
openx,pol-03,False,INTENT,Arts,0.79
appnexus,pol-03,False,INTENT,Arts,0.11712600000000002
rubicon,pol-03,False,INTENT,Arts,0.25711
openx,pol-04,False,INTENT,Arts,0.28600000000000003
ix,pol-04,False,INTENT,Arts,0.09
ix,pol-04,False,INTENT,Arts,0.31000000000000005
appnexus,pol-04,False,INTENT,Arts,0.071647
rubicon,pol-04,False,INTENT,Arts,0.31135000000000007
openx,pol-05,False,INTENT,Arts,0.24000000000000002
ix,pol-05,False,INTENT,Arts,0.21000000000000002
appnexus,pol-05,False,INTENT,Arts,0.28342200000000006
rubicon,pol-05,False,INTENT,Arts,0.22599000000000002
openx,pol-06,False,INTENT,Arts,0.28600000000000003
ix,pol-06,False,INTENT,Arts,0.09
ix,pol-06,False,INTENT,Arts,0.11
appnexus,pol-06,False,INTENT,Arts,0.12904600000000002
rubicon,pol-06,False,INTENT,Arts,0.31135000000000007
pubmatic,div-Left-WideSkyscraper@pubmatic@160X600,False,INTENT,Society,0.34
pubmatic,div-Top-Leaderboard@pubmatic@728X90,False,INTENT,Society,0.34
pubmatic,div-Top-Leaderboard@pubmatic@970X90,False,INTENT,Society,0.0
pubmatic,div-Top-Leaderboard@pubmatic@970X250,False,INTENT,Society,0.25
pubmatic,div-Right-MediumRectangle-1@pubmatic@300X600,False,INTENT,Society,0.33000000000000007
pubmatic,div-Right-MediumRectangle-1@pubmatic@300X250,False,INTENT,Society,0.25
pubmatic,div-Right-MediumRectangle-2@pubmatic@300X250,False,INTENT,Society,1.8
pubmatic,div-Right-MediumRectangle-3@pubmatic@300X250,False,INTENT,Society,0.25
pubmatic,div-NativeAds-Populer-1@pubmatic@300X100,False,INTENT,Society,0.0
pubmatic,div-Headline-4@pubmatic@650X365,False,INTENT,Society,0.0
pubmatic,div-Headline-Thumb-4@pubmatic@130X115,False,INTENT,Society,0.0
pubmatic,div-Headline-5@pubmatic@650X365,False,INTENT,Society,0.0
pubmatic,div-Headline-Thumb-5@pubmatic@130X115,False,INTENT,Society,0.0
pubmatic,div-Topik-Pilihan@pubmatic@677X132,False,INTENT,Society,0.0
pubmatic,div-Popup@pubmatic@1X1,False,INTENT,Society,0.0
pubmatic,div-BalloonAds@pubmatic@1X1,False,INTENT,Society,0.0
pubmatic,div-PeelAds@pubmatic@1X1,False,INTENT,Society,0.0
appnexus,div-Left-WideSkyscraper@appnexus@160X600,False,INTENT,Society,0.23672200000000002
appnexus,div-Top-Leaderboard@appnexus@728X90,False,INTENT,Society,0.278697
appnexus,div-Top-Leaderboard@appnexus@970X90,False,INTENT,Society,0.018887
appnexus,div-Top-Leaderboard@appnexus@970X250,False,INTENT,Society,0.20345000000000002
appnexus,div-Right-MediumRectangle-1@appnexus@300X600,False,INTENT,Society,0.278697
appnexus,div-Right-MediumRectangle-1@appnexus@300X250,False,INTENT,Society,0.11019400000000001
appnexus,div-Right-MediumRectangle-2@appnexus@300X250,False,INTENT,Society,0.081914
appnexus,div-Right-MediumRectangle-3@appnexus@300X250,False,INTENT,Society,0.405967
pubmatic,div-gpt-ad-kapanlagi-billboard-oop@pubmatic@1X1,False,INTENT,Science,0.0
pubmatic,div-gpt-ad-kapanlagi-topfrm-oop@pubmatic@1X1,False,INTENT,Science,0.0
pubmatic,div-gpt-ad-kapanlagi-bottomfrm-oop@pubmatic@1X1,False,INTENT,Science,0.0
pubmatic,div-gpt-ad-kapanlagi-skinad-oop@pubmatic@1X1,False,INTENT,Science,0.0
ix,dcomHomeTop-728x90@indexExchange@728X90,False,INTENT,Science,1.1600000000000001
ix,dcomHomeBot-728x90@indexExchange@728X90,False,INTENT,Science,1.05
appnexus,dcomHomeTop-728x90@appnexus@728X90,False,INTENT,Science,1.1365420000000002
appnexus,dcomHomeTop-300x250@appnexus@300X250,False,INTENT,Science,0.9141159999999999
districtm,dcomHomeTop-728x90@districtm@728X90,False,INTENT,Science,1.436119
districtm,dcomHomeTop-300x250@districtm@300X250,False,INTENT,Science,0.9614329999999999
pubmatic,dcomHomeTop-728x90@pubmatic@728X90,False,INTENT,Science,1.6
pubmatic,dcomHomeTop-300x250@pubmatic@300X250,False,INTENT,Science,1.0
pubmatic,dcomHomeBot-728x90@pubmatic@728X90,False,INTENT,Science,1.61
conversant,dcomHomeTop-300x250@conversant@300X250,False,INTENT,Science,0.25
openx,dcomHomeTop-728x90@openx@728X90,False,INTENT,Science,0.7280000000000001
openx,dcomHomeTop-300x250@openx@300X250,False,INTENT,Science,0.6000000000000001
rubicon,dcomHomeTop-300x250@rubicon@300X250,False,INTENT,Science,1.321338
rubicon,dcomHomeTop-728x90@rubicon@728X90,False,INTENT,Science,1.167641
appnexus,adwallpaper,False,INTENT,Science,0.10189100000000001
ix,adwallpaper,False,INTENT,Science,4.48
rubicon,adwallpaper,False,INTENT,Science,0.27977
openx,adwallpaper,False,INTENT,Science,0.37120000000000003
appnexus,admputop,False,INTENT,Science,0.162574
appnexus,admputop,False,INTENT,Science,0.3326800000000001
ix,admputop,False,INTENT,Science,0.88
ix,admputop,False,INTENT,Science,0.03
openx,admputop,False,INTENT,Science,1.0909
openx,admputop,False,INTENT,Science,1.4348999999999998
pubmatic,admputop,False,INTENT,Science,0.32000000000000006
appnexus,admpumiddle,False,INTENT,Science,0.21536500000000003
appnexus,admpumiddle,False,INTENT,Science,0.259436
ix,admpumiddle,False,INTENT,Science,0.88
ix,admpumiddle,False,INTENT,Science,0.88
openx,admpumiddle,False,INTENT,Science,1.4348999999999998
openx,admpumiddle,False,INTENT,Science,0.15780000000000002
pubmatic,admpumiddle,False,INTENT,Science,0.9500000000000001
appnexus,ad-slot-banner-899630,False,INTENT,Kids_and_Teens,8.285521
appnexus,ad-slot-incontent-846594,False,INTENT,Kids_and_Teens,1.61
appnexus,header_top_hb,False,INTENT,News,0.14737
appnexus,full_site_hb,False,INTENT,News,0.14737
appnexus,middle_hb,False,INTENT,News,0.11565500000000001
ix,adwallpaper,False,INTENT,Games,0.88
appnexus,adwallpaper,False,INTENT,Games,0.28127
openx,adwallpaper,False,INTENT,Games,0.1703
rubicon,adwallpaper,False,INTENT,Games,0.094491
ix,admputop,False,INTENT,Games,0.08
ix,admputop,False,INTENT,Games,0.04
pubmatic,admputop,False,INTENT,Games,0.24000000000000002
appnexus,admputop,False,INTENT,Games,0.11728000000000001
appnexus,admputop,False,INTENT,Games,0.264938
openx,admputop,False,INTENT,Games,0.7447000000000001
ix,admpumiddle,False,INTENT,Games,0.04
pubmatic,admpumiddle,False,INTENT,Games,0.8600000000000001
appnexus,admpumiddle,False,INTENT,Games,0.14049000000000003
appnexus,admpumiddle,False,INTENT,Games,0.13245
openx,admpumiddle,False,INTENT,Games,0.7447000000000001
openx,admpumiddle,False,INTENT,Games,0.7447000000000001
appnexus,div-Left-WideSkyscraper@appnexus@160X600,False,INTENT,Business,0.340763
appnexus,div-Top-Leaderboard@appnexus@728X90,False,INTENT,Business,0.278697
appnexus,div-Top-Leaderboard@appnexus@970X90,False,INTENT,Business,0.0030580000000000004
appnexus,div-Top-Leaderboard@appnexus@970X250,False,INTENT,Business,0.21590300000000004
appnexus,div-Right-MediumRectangle-1@appnexus@300X600,False,INTENT,Business,0.278697
appnexus,div-Right-MediumRectangle-1@appnexus@300X250,False,INTENT,Business,0.3184640000000001
appnexus,div-Right-MediumRectangle-2@appnexus@300X250,False,INTENT,Business,0.3828880000000001
appnexus,div-Right-MediumRectangle-3@appnexus@300X250,False,INTENT,Business,0.33311900000000005
pubmatic,div-Left-WideSkyscraper@pubmatic@160X600,False,INTENT,Business,0.34
pubmatic,div-Top-Leaderboard@pubmatic@728X90,False,INTENT,Business,0.34
pubmatic,div-Top-Leaderboard@pubmatic@970X90,False,INTENT,Business,0.0
pubmatic,div-Top-Leaderboard@pubmatic@970X250,False,INTENT,Business,0.25
pubmatic,div-Right-MediumRectangle-1@pubmatic@300X600,False,INTENT,Business,0.34
pubmatic,div-Right-MediumRectangle-1@pubmatic@300X250,False,INTENT,Business,0.11
pubmatic,div-Right-MediumRectangle-2@pubmatic@300X250,False,INTENT,Business,0.11
pubmatic,div-Right-MediumRectangle-3@pubmatic@300X250,False,INTENT,Business,0.1
pubmatic,div-NativeAds-Populer-1@pubmatic@300X100,False,INTENT,Business,0.0
pubmatic,div-Headline-5@pubmatic@650X365,False,INTENT,Business,0.0
pubmatic,div-Headline-Thumb-5@pubmatic@130X115,False,INTENT,Business,0.0
pubmatic,div-Topik-Pilihan@pubmatic@677X132,False,INTENT,Business,0.0
pubmatic,div-Popup@pubmatic@1X1,False,INTENT,Business,0.0
pubmatic,div-BalloonAds@pubmatic@1X1,False,INTENT,Business,0.0
pubmatic,div-PeelAds@pubmatic@1X1,False,INTENT,Business,0.0
appnexus,div-gpt-ad-2-1,False,INTENT,Home,0.43531500000000006
openx,div-gpt-ad-2-1,False,INTENT,Home,0.30000000000000004
ix,div-gpt-ad-2-1,False,INTENT,Home,1.81
rubicon,div-gpt-ad-2-1,False,INTENT,Home,2.14381
lockerdome,1131606,False,INTENT,Games,0.13
ix,1131606,True,INTENT,Games,0.2407
openx,1131606,False,INTENT,Games,0.14792000000000002
sovrn,1131606,False,INTENT,Games,0.23732598781585693
ix,1131607,False,INTENT,Games,0.09960000000000001
ix,1131607,False,INTENT,Games,0.6224999999999999
ix,1131607,False,INTENT,Games,0.6224999999999999
openx,1131607,False,INTENT,Games,0.14792000000000002
aol,1131607,False,INTENT,Games,0.29750000000000004
sovrn,1131607,False,INTENT,Games,0.06885680176317692
sovrn,1131607,False,INTENT,Games,0.07220439523458481
sovrn,1131607,False,INTENT,Games,0.5263900375366212
ix,1131609,False,INTENT,Games,0.2407
ix,1131609,False,INTENT,Games,0.0166
openx,1131609,False,INTENT,Games,0.14792000000000002
rubicon,1131609,False,INTENT,Games,0.23251536000000003
sovrn,1131609,False,INTENT,Games,0.054626160785555856
ix,1131611,False,INTENT,Games,0.2407
ix,1131611,False,INTENT,Games,0.024900000000000002
openx,1131611,False,INTENT,Games,0.15050000000000002
rubicon,1131611,False,INTENT,Games,0.23251536000000003
aol,1131611,True,INTENT,Games,0.29750000000000004
sovrn,1131611,False,INTENT,Games,0.056585332825779905
sovrn,1131611,False,INTENT,Games,0.05156287897378207
aol,HorizonBanner,False,INTENT,Games,0.29750000000000004
sovrn,HorizonBanner,False,INTENT,Games,0.23732598781585693
pubmatic,div-gpt-ad-1535012243332-0@pubmatic@728X90,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1535014012109-0@pubmatic@300X250,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1535014012109-0@pubmatic@300X600,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1535014085963-0@pubmatic@300X250,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1537376336099-0@pubmatic@300X250,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1540291053443-0@pubmatic@300X700,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1540291072093-0@pubmatic@300X700,False,INTENT,Games,0.0
pubmatic,div-gpt-ad-1535012243332-0@pubmatic@728X90,False,INTENT,Recreation,0.0
pubmatic,div-gpt-ad-1535014012109-0@pubmatic@300X250,False,INTENT,Recreation,0.0
pubmatic,div-gpt-ad-1535014012109-0@pubmatic@300X600,False,INTENT,Recreation,0.0
pubmatic,div-gpt-ad-1535014085963-0@pubmatic@300X250,False,INTENT,Recreation,1.7100000000000002
pubmatic,div-gpt-ad-1535011949711-0@pubmatic@970X250,False,INTENT,Recreation,0.0
pubmatic,div-gpt-ad-1537376336099-0@pubmatic@300X250,False,INTENT,Recreation,0.0
openx,div-gpt-ad-300x250atfgsmarenadesktop-0,False,INTENT,Regional,9.924
ix,div-gpt-ad-300x250atfgsmarenadesktop-0,False,INTENT,Regional,0.30000000000000004
rubicon,div-gpt-ad-300x250atfgsmarenadesktop-0,False,INTENT,Regional,6.9380120000000005
criteo,div-gpt-ad-300x250atfgsmarenadesktop-0,False,INTENT,Regional,0.049366295337676995
districtm,div-gpt-ad-300x250atfgsmarenadesktop-0,False,INTENT,Regional,9.593547000000001
openx,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,7.086
ix,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,0.77
rubicon,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,1.450858
criteo,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,0.04867243021726609
appnexus,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,8.686869
districtm,div-gpt-ad-top728x90gsmarenadesktop-0,False,INTENT,Regional,0.36100000000000004
openx,div-gpt-ad-728x90bagsmarenadesktop-0,False,INTENT,Regional,7.086
ix,div-gpt-ad-728x90bagsmarenadesktop-0,False,INTENT,Regional,10.29
rubicon,div-gpt-ad-728x90bagsmarenadesktop-0,False,INTENT,Regional,22.034670000000002
criteo,div-gpt-ad-728x90bagsmarenadesktop-0,False,INTENT,Regional,0.05150456726551057
appnexus,div-gpt-ad-728x90bagsmarenadesktop-0,False,INTENT,Regional,0.37000000000000005
openx,div-gpt-ad-300x600btfgsmarenadesktop-0,False,INTENT,Regional,7.086
ix,div-gpt-ad-300x600btfgsmarenadesktop-0,False,INTENT,Regional,0.96
criteo,div-gpt-ad-300x600btfgsmarenadesktop-0,False,INTENT,Regional,0.05854031816124917
appnexus,div-gpt-ad-300x600btfgsmarenadesktop-0,False,INTENT,Regional,8.686869
rubicon,div-gpt-ad-300x600btfgsmarenadesktop-0,False,INTENT,Regional,0.7519900000000002
